Product,Rating,Price
/apple-airpods-2nd-gen-charging-case-bluetooth-headset-mic/p/itm8f1b2b0173ce4?pid=ACCFF2R85H8YG4WH&lid=LSTACCFF2R85H8YG4WHVYNGWK&marketplace=FLIPKART&q=headphones&store=0pm%2Ffcn&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=069804ab-9337-4284-9329-be0515d86f95.ACCFF2R85H8YG4WH.SEARCH&ppt=None&ppn=None&ssid=jael03dldc0000001706874854493&qH=edd443896ef5dbfc,4.5,₹11,999
/apple-airpods-pro-2nd-generation-magsafe-case-usb-c-bluetooth-headset/p/itm60c8f5a308352?pid=ACCGTCYRNADXCXNG&lid=LSTACCGTCYRNADXCXNGWCU03Q&marketplace=FLIPKART&q=headphones&store=0pm%2Ffcn&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=069804ab-9337-4284-9329-be0515d86f95.ACCGTCYRNADXCXNG.SEARCH&ppt=None&ppn=None&ssid=jael03dldc0000001706874854493&qH=edd443896ef5dbfc,4.6,₹19,990
/oneplus-bullets-wireless-z2-fast-charge-30-hrs-battery-life-earphones-mic-bluetooth-headset/p/itm1b9cd98911a2a?pid=ACCGC4GN5SQR7ZCZ&lid=LSTACCGC4GN5SQR7ZCZYKXWJM&marketplace=FLIPKART&q=headphones&store=0pm%2Ffcn&spotlightTagId=BestsellerId_0pm%2Ffcn&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=069804ab-9337-4284-9329-be0515d86f95.ACCGC4GN5SQR7ZCZ.SEARCH&ppt=None&ppn=None&ssid=jael03dldc0000001706874854493&qH=edd443896ef5dbfc,4.3,₹1,599
/oppo-enco-buds-2-28-hours-battery-life-deep-noise-cancellation-bluetooth-headset/p/itm3344fa26518ed?pid=ACCGH7YZY6AHGCHJ&lid=LSTACCGH7YZY6AHGCHJHLWF41&marketplace=FLIPKART&q=headphones&store=0pm%2Ffcn&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=069804ab-9337-4284-9329-be0515d86f95.ACCGH7YZY6AHGCHJ.SEARCH&ppt=None&ppn=None&ssid=jael03dldc0000001706874854493&qH=edd443896ef5dbfc,4.2,₹1,799
/clairbell-m10-cs-m10-earbuds-wireless-bluetooth-portable-powerbank-charging-led-display-headset/p/itmceccf977d615d?pid=ACCGWVGFZTT37WWM&q=headphones&store=0pm%2Ffcn&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=069804ab-9337-4284-9329-be0515d86f95.ACCGWVGFZTT37WWM.SEARCH&ppt=None&ppn=None&ssid=jael03dldc0000001706874854493&qH=edd443896ef5dbfc,/oneplus-nord-buds-2-true-wireless-earbuds-25db-active-noise-cancellation-bluetooth-headset/p/itm1564d0b502ff6?pid=ACCGNSJ2TZEJ3U66&lid=LSTACCGNSJ2TZEJ3U66DYYFN0&marketplace=FLIPKART&q=headphones&store=0pm%2Ffcn&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=069804ab-9337-4284-9329-be0515d86f95.ACCGNSJ2TZEJ3U66.SEARCH&ppt=None&ppn=None&ssid=jael03dldc0000001706874854493&qH=edd443896ef5dbfc,4.3,₹2,499
/oneplus-bullets-wireless-z2-bluetooth-headset/p/itm4c3852314bb61?pid=ACCGF4JZHYTERVTY&lid=LSTACCGF4JZHYTERVTYHCZ96N&marketplace=FLIPKART&q=headphones&store=0pm%2Ffcn&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=069804ab-9337-4284-9329-be0515d86f95.ACCGF4JZHYTERVTY.SEARCH&ppt=None&ppn=None&ssid=jael03dldc0000001706874854493&qH=edd443896ef5dbfc,4.3,₹1,599
/boat-airdopes-161-40-hours-playback-asap-charge-10mm-drivers-bluetooth-headset/p/itm8a7493150ae4a?pid=ACCG6DS7WDJHGWSH&lid=LSTACCG6DS7WDJHGWSH8IRY50&marketplace=FLIPKART&q=headphones&store=0pm%2Ffcn&spotlightTagId=BestsellerId_0pm%2Ffcn&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=069804ab-9337-4284-9329-be0515d86f95.ACCG6DS7WDJHGWSH.SEARCH&ppt=None&ppn=None&ssid=jael03dldc0000001706874854493&qH=edd443896ef5dbfc,4,₹899
/clairbell-bha29-iy120-p47-over-head-bluetooth-headset/p/itm848e757434315?pid=ACCGVJZW74C8GJXH&q=headphones&store=0pm%2Ffcn&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=069804ab-9337-4284-9329-be0515d86f95.ACCGVJZW74C8GJXH.SEARCH&ppt=None&ppn=None&ssid=jael03dldc0000001706874854493&qH=edd443896ef5dbfc,/realme-techlife-buds-t100-up-28-hours-playback-ai-enc-calls-bluetooth-headset/p/itmb496242b3d1fb?pid=ACCGGZEH4K3ZCQFT&lid=LSTACCGGZEH4K3ZCQFTNO8HGO&marketplace=FLIPKART&q=headphones&store=0pm%2Ffcn&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=069804ab-9337-4284-9329-be0515d86f95.ACCGGZEH4K3ZCQFT.SEARCH&ppt=None&ppn=None&ssid=jael03dldc0000001706874854493&qH=edd443896ef5dbfc,4.2,₹1,499
/oneplus-bullets-wireless-z2-anc-bluetooth-ear-earphones-45db-hybrid-headset/p/itmf053b9e0ed84a?pid=ACCGRH9DVGQCF5CF&lid=LSTACCGRH9DVGQCF5CFOI349Z&marketplace=FLIPKART&q=headphones&store=0pm%2Ffcn&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=069804ab-9337-4284-9329-be0515d86f95.ACCGRH9DVGQCF5CF.SEARCH&ppt=None&ppn=None&ssid=jael03dldc0000001706874854493&qH=edd443896ef5dbfc,4.2,₹1,999
/bsvr-new-design-led-ultrapods-2-buds-charging-case-908-bluetooth-headset/p/itmab79db849ecdd?pid=ACCGX4G7DJFD4QT6&lid=LSTACCGX4G7DJFD4QT6LC04B4&marketplace=FLIPKART&q=headphones&store=0pm%2Ffcn&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=069804ab-9337-4284-9329-be0515d86f95.ACCGX4G7DJFD4QT6.SEARCH&ppt=None&ppn=None&ssid=jael03dldc0000001706874854493&qH=edd443896ef5dbfc,₹599
